0/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : 0, q_loss : 0, SCL Loss : 0×0, ICL Loss : 0×0, UCL Loss : 0×0
77/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -0.6181667447090149, q_loss : 0.02359924279153347, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
78/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.5618575215339661, q_loss : 0.015084398910403252, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
79/20000, episode_reward : 2, episode_length : 14, CTR : 0.14285714285714285, a_loss : -0.5789589881896973, q_loss : 0.14400970935821533, SCL Loss : 0×0, ICL Loss : 14×1.0, UCL Loss : 0×0
80/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.45887744426727295, q_loss : 0.015658864751458168, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
81/20000, episode_reward : 1, episode_length : 9, CTR : 0.1111111111111111, a_loss : -0.25369906425476074, q_loss : 0.014082412235438824, SCL Loss : 0×0, ICL Loss : 9×1.0, UCL Loss : 0×0
82/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.25337550044059753, q_loss : 0.02221338078379631, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
83/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.2579169273376465, q_loss : 0.01174174901098013, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
84/20000, episode_reward : 4, episode_length : 3, CTR : 0.3333333333333333, a_loss : -0.35241249203681946, q_loss : 0.10352117568254471, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
85/20000, episode_reward : 0, episode_length : 8, CTR : 0.0, a_loss : -0.5424858927726746, q_loss : 0.023006703704595566, SCL Loss : 0×0, ICL Loss : 8×1.0, UCL Loss : 0×0
86/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.538477897644043, q_loss : 0.020372603088617325, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
87/20000, episode_reward : 1, episode_length : 4, CTR : 0.25, a_loss : -0.49135422706604004, q_loss : 0.014269850216805935, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
88/20000, episode_reward : 1, episode_length : 17, CTR : 0.058823529411764705, a_loss : -0.6031965613365173, q_loss : 0.08439984917640686, SCL Loss : 0×0, ICL Loss : 17×1.0, UCL Loss : 0×0
89/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -0.46460840106010437, q_loss : 0.01292608492076397, SCL Loss : 0×0, ICL Loss : 4×1.0, UCL Loss : 0×0
90/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.46796664595603943, q_loss : 0.01880260556936264, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
91/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : -0.3988574147224426, q_loss : 0.0261911079287529, SCL Loss : 0×0, ICL Loss : 5×1.0, UCL Loss : 0×0
92/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.3805067539215088, q_loss : 0.017834505066275597, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
93/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.46397581696510315, q_loss : 0.02972826175391674, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
94/20000, episode_reward : 1, episode_length : 3, CTR : 0.3333333333333333, a_loss : -0.5909112691879272, q_loss : 0.0913776308298111, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
95/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.8202696442604065, q_loss : 0.08375906944274902, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
96/20000, episode_reward : 6, episode_length : 20, CTR : 0.25, a_loss : -0.5946246385574341, q_loss : 0.024774782359600067, SCL Loss : 0×0, ICL Loss : 20×1.0, UCL Loss : 0×0
97/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.4797663688659668, q_loss : 0.07785102725028992, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
98/20000, episode_reward : 1, episode_length : 6, CTR : 0.16666666666666666, a_loss : -0.2831795811653137, q_loss : 0.026049550622701645, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
99/20000, episode_reward : 2, episode_length : 18, CTR : 0.05555555555555555, a_loss : -0.38749903440475464, q_loss : 0.02222658321261406, SCL Loss : 0×0, ICL Loss : 18×1.0, UCL Loss : 0×0
100/20000, episode_reward : 0, episode_length : 6, CTR : 0.0, a_loss : -0.2765360474586487, q_loss : 0.020997872576117516, SCL Loss : 0×0, ICL Loss : 6×1.0, UCL Loss : 0×0
101/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -0.2979167103767395, q_loss : 0.01361415721476078, SCL Loss : 0×0, ICL Loss : 1×1.0, UCL Loss : 0×0
102/20000, episode_reward : 5, episode_length : 10, CTR : 0.2, a_loss : -0.5624605417251587, q_loss : 0.021661080420017242, SCL Loss : 0×0, ICL Loss : 10×1.0, UCL Loss : 0×0
103/20000, episode_reward : 6, episode_length : 16, CTR : 0.1875, a_loss : -0.35483473539352417, q_loss : 0.022727619856595993, SCL Loss : 0×0, ICL Loss : 16×1.0, UCL Loss : 0×0
104/20000, episode_reward : 0, episode_length : 3, CTR : 0.0, a_loss : -0.373963862657547, q_loss : 0.07747326046228409, SCL Loss : 0×0, ICL Loss : 3×1.0, UCL Loss : 0×0
105/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -0.5860774517059326, q_loss : 0.07920988649129868, SCL Loss : 0×0, ICL Loss : 2×1.0, UCL Loss : 0×0
