0/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : 0, q_loss : 0
18686/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -26.91798210144043, q_loss : 0.04410148039460182
18687/20000, episode_reward : 131, episode_length : 33, CTR : 0.7575757575757576, a_loss : -27.52338218688965, q_loss : 0.03601887822151184
18688/20000, episode_reward : 72, episode_length : 9, CTR : 1.0, a_loss : -28.896011352539062, q_loss : 0.07572923600673676
18689/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -25.818925857543945, q_loss : 0.04702594131231308
18690/20000, episode_reward : 58, episode_length : 11, CTR : 0.7272727272727273, a_loss : -27.200607299804688, q_loss : 0.17915940284729004
18691/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -23.557518005371094, q_loss : 0.030622897669672966
18692/20000, episode_reward : 81, episode_length : 16, CTR : 0.9375, a_loss : -29.078018188476562, q_loss : 0.03209987282752991
18693/20000, episode_reward : 11, episode_length : 3, CTR : 1.0, a_loss : -33.6663703918457, q_loss : 0.07116314768791199
18694/20000, episode_reward : 16, episode_length : 2, CTR : 1.0, a_loss : -27.66691017150879, q_loss : 0.030969729647040367
18695/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -24.597471237182617, q_loss : 0.04545976221561432
18696/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -28.16790199279785, q_loss : 0.06297086179256439
18697/20000, episode_reward : 15, episode_length : 4, CTR : 0.75, a_loss : -29.549856185913086, q_loss : 0.032401539385318756
18698/20000, episode_reward : 20, episode_length : 3, CTR : 1.0, a_loss : -26.001110076904297, q_loss : 0.05837245285511017
18699/20000, episode_reward : 77, episode_length : 26, CTR : 0.8076923076923077, a_loss : -25.98714828491211, q_loss : 0.03426603972911835
18700/20000, episode_reward : 49, episode_length : 13, CTR : 1.0, a_loss : -24.98023223876953, q_loss : 0.06186342239379883
18701/20000, episode_reward : 8, episode_length : 7, CTR : 0.14285714285714285, a_loss : -26.776763916015625, q_loss : 0.048125363886356354
18702/20000, episode_reward : 8, episode_length : 1, CTR : 1.0, a_loss : -25.218751907348633, q_loss : 0.06289995461702347
18703/20000, episode_reward : 40, episode_length : 5, CTR : 1.0, a_loss : -28.81527328491211, q_loss : 0.14482218027114868
18704/20000, episode_reward : 202, episode_length : 38, CTR : 0.9736842105263158, a_loss : -30.476490020751953, q_loss : 0.05934271588921547
18705/20000, episode_reward : 123, episode_length : 20, CTR : 0.95, a_loss : -24.545608520507812, q_loss : 0.05685081705451012
18706/20000, episode_reward : 16, episode_length : 2, CTR : 1.0, a_loss : -29.709733963012695, q_loss : 0.07440333813428879
18707/20000, episode_reward : 32, episode_length : 5, CTR : 0.8, a_loss : -27.1358585357666, q_loss : 0.03203858062624931
18708/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -25.17852783203125, q_loss : 0.03892894089221954
18709/20000, episode_reward : 37, episode_length : 8, CTR : 1.0, a_loss : -28.524574279785156, q_loss : 0.044111695140600204
18710/20000, episode_reward : 1, episode_length : 9, CTR : 0.1111111111111111, a_loss : -28.573474884033203, q_loss : 0.07217387109994888
18711/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -25.8460636138916, q_loss : 0.03333960473537445
18712/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -28.31975746154785, q_loss : 0.06839919835329056
18713/20000, episode_reward : 30, episode_length : 8, CTR : 1.0, a_loss : -28.138912200927734, q_loss : 0.045796532183885574
18714/20000, episode_reward : 20, episode_length : 4, CTR : 1.0, a_loss : -24.79364585876465, q_loss : 0.056065335869789124
18715/20000, episode_reward : 5, episode_length : 2, CTR : 1.0, a_loss : -24.60897445678711, q_loss : 0.045611683279275894
18716/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -30.15411376953125, q_loss : 0.04667701572179794
18717/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -27.935585021972656, q_loss : 0.053112857043743134
18718/20000, episode_reward : 111, episode_length : 32, CTR : 0.875, a_loss : -27.912975311279297, q_loss : 0.04509533941745758
18719/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -23.96630859375, q_loss : 0.06507867574691772
18720/20000, episode_reward : 10, episode_length : 3, CTR : 0.6666666666666666, a_loss : -27.873071670532227, q_loss : 0.05697667598724365
18721/20000, episode_reward : 30, episode_length : 6, CTR : 1.0, a_loss : -28.291778564453125, q_loss : 0.03504994884133339
18722/20000, episode_reward : 42, episode_length : 20, CTR : 0.4, a_loss : -29.291711807250977, q_loss : 0.03904426097869873
18723/20000, episode_reward : 9, episode_length : 2, CTR : 1.0, a_loss : -26.343521118164062, q_loss : 0.05362528935074806
18724/20000, episode_reward : 8, episode_length : 1, CTR : 1.0, a_loss : -26.185760498046875, q_loss : 0.053807929158210754
18725/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -25.258560180664062, q_loss : 0.046039316803216934
18726/20000, episode_reward : 18, episode_length : 5, CTR : 0.6, a_loss : -23.00981903076172, q_loss : 0.054888203740119934
18727/20000, episode_reward : 16, episode_length : 2, CTR : 1.0, a_loss : -25.296916961669922, q_loss : 0.04121256619691849
18728/20000, episode_reward : 19, episode_length : 5, CTR : 0.8, a_loss : -33.07426452636719, q_loss : 0.10638531297445297
18729/20000, episode_reward : 32, episode_length : 4, CTR : 1.0, a_loss : -27.293914794921875, q_loss : 0.09726577997207642
18730/20000, episode_reward : 6, episode_length : 11, CTR : 0.2727272727272727, a_loss : -26.508041381835938, q_loss : 0.050370194017887115
18731/20000, episode_reward : 15, episode_length : 4, CTR : 1.0, a_loss : -21.105514526367188, q_loss : 0.05915156751871109
18732/20000, episode_reward : 15, episode_length : 8, CTR : 0.75, a_loss : -33.03984069824219, q_loss : 0.0437859445810318
18733/20000, episode_reward : 16, episode_length : 3, CTR : 1.0, a_loss : -26.54062271118164, q_loss : 0.06962675601243973
18734/20000, episode_reward : 108, episode_length : 21, CTR : 0.8571428571428571, a_loss : -33.39762496948242, q_loss : 0.06808653473854065
18735/20000, episode_reward : 4, episode_length : 1, CTR : 1.0, a_loss : -23.171768188476562, q_loss : 0.07168368995189667
18736/20000, episode_reward : 16, episode_length : 2, CTR : 1.0, a_loss : -27.99882698059082, q_loss : 0.04183119535446167
18737/20000, episode_reward : 48, episode_length : 8, CTR : 0.75, a_loss : -25.206653594970703, q_loss : 0.07197532057762146
18738/20000, episode_reward : 8, episode_length : 2, CTR : 0.5, a_loss : -21.918821334838867, q_loss : 0.07409165799617767
18739/20000, episode_reward : 69, episode_length : 16, CTR : 1.0, a_loss : -27.27682113647461, q_loss : 0.05248993635177612
18740/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -28.9976806640625, q_loss : 0.049655601382255554
18741/20000, episode_reward : 12, episode_length : 3, CTR : 1.0, a_loss : -26.00005340576172, q_loss : 0.07269831001758575
18742/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -32.85546875, q_loss : 0.02674822509288788
18743/20000, episode_reward : 90, episode_length : 16, CTR : 0.875, a_loss : -27.05497169494629, q_loss : 0.050573475658893585
18744/20000, episode_reward : 86, episode_length : 22, CTR : 0.8181818181818182, a_loss : -26.883644104003906, q_loss : 0.036245107650756836
18745/20000, episode_reward : 103, episode_length : 23, CTR : 0.9130434782608695, a_loss : -26.49712371826172, q_loss : 0.056260429322719574
18746/20000, episode_reward : 48, episode_length : 11, CTR : 0.8181818181818182, a_loss : -29.10453987121582, q_loss : 0.08726856112480164
18747/20000, episode_reward : 25, episode_length : 7, CTR : 0.7142857142857143, a_loss : -20.663223266601562, q_loss : 0.03501865640282631
18748/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -24.261844635009766, q_loss : 0.03995518386363983
18749/20000, episode_reward : 60, episode_length : 14, CTR : 1.0, a_loss : -31.90427589416504, q_loss : 0.03512495756149292
18750/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -34.692779541015625, q_loss : 0.04163076728582382
18751/20000, episode_reward : 59, episode_length : 11, CTR : 0.9090909090909091, a_loss : -28.94532012939453, q_loss : 0.04432428628206253
18752/20000, episode_reward : 20, episode_length : 5, CTR : 0.8, a_loss : -30.584457397460938, q_loss : 0.039481524378061295
18753/20000, episode_reward : 50, episode_length : 9, CTR : 1.0, a_loss : -24.440601348876953, q_loss : 0.04584889858961105
18754/20000, episode_reward : 35, episode_length : 8, CTR : 0.875, a_loss : -24.678733825683594, q_loss : 0.04744036868214607
18755/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -26.622421264648438, q_loss : 0.047675006091594696
18756/20000, episode_reward : 32, episode_length : 4, CTR : 1.0, a_loss : -32.89044952392578, q_loss : 0.040042001754045486
18757/20000, episode_reward : 10, episode_length : 5, CTR : 1.0, a_loss : -24.913923263549805, q_loss : 0.05079833045601845
18758/20000, episode_reward : 72, episode_length : 9, CTR : 1.0, a_loss : -34.80711364746094, q_loss : 0.0725257396697998
18759/20000, episode_reward : 211, episode_length : 39, CTR : 0.9487179487179487, a_loss : -27.83338737487793, q_loss : 0.058448389172554016
18760/20000, episode_reward : 40, episode_length : 5, CTR : 1.0, a_loss : -21.96448516845703, q_loss : 0.05385292321443558
18761/20000, episode_reward : 14, episode_length : 9, CTR : 0.4444444444444444, a_loss : -27.849401473999023, q_loss : 0.06021799147129059
18762/20000, episode_reward : 8, episode_length : 4, CTR : 1.0, a_loss : -27.612470626831055, q_loss : 0.08401507139205933
18763/20000, episode_reward : 30, episode_length : 4, CTR : 0.75, a_loss : -25.81861686706543, q_loss : 0.06353926658630371
18764/20000, episode_reward : 73, episode_length : 17, CTR : 1.0, a_loss : -24.39299774169922, q_loss : 0.05547831207513809
18765/20000, episode_reward : 4, episode_length : 1, CTR : 1.0, a_loss : -29.68116569519043, q_loss : 0.04537418112158775
18766/20000, episode_reward : 0, episode_length : 10, CTR : 0.0, a_loss : -31.835309982299805, q_loss : 0.04710773378610611
18767/20000, episode_reward : 4, episode_length : 4, CTR : 0.5, a_loss : -27.09776496887207, q_loss : 0.050409551709890366
18768/20000, episode_reward : 8, episode_length : 2, CTR : 0.5, a_loss : -22.452693939208984, q_loss : 0.05999673157930374
18769/20000, episode_reward : 16, episode_length : 2, CTR : 1.0, a_loss : -29.803796768188477, q_loss : 0.05251997336745262
18770/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -27.79601287841797, q_loss : 0.07738326489925385
18771/20000, episode_reward : 11, episode_length : 17, CTR : 0.6470588235294118, a_loss : -26.154937744140625, q_loss : 0.03555701673030853
18772/20000, episode_reward : 4, episode_length : 1, CTR : 1.0, a_loss : -25.123920440673828, q_loss : 0.05735330283641815
18773/20000, episode_reward : 14, episode_length : 3, CTR : 1.0, a_loss : -28.423852920532227, q_loss : 0.08813740313053131
18774/20000, episode_reward : 37, episode_length : 9, CTR : 0.8888888888888888, a_loss : -29.345373153686523, q_loss : 0.05852298438549042
18775/20000, episode_reward : 8, episode_length : 1, CTR : 1.0, a_loss : -31.788440704345703, q_loss : 0.07164950668811798
18776/20000, episode_reward : 328, episode_length : 75, CTR : 0.8933333333333333, a_loss : -31.13248062133789, q_loss : 0.06727404147386551
18777/20000, episode_reward : 44, episode_length : 9, CTR : 1.0, a_loss : -30.088237762451172, q_loss : 0.057565100491046906
18778/20000, episode_reward : 24, episode_length : 3, CTR : 1.0, a_loss : -26.27975082397461, q_loss : 0.05802066996693611
18779/20000, episode_reward : 58, episode_length : 15, CTR : 1.0, a_loss : -33.23699188232422, q_loss : 0.0672229677438736
18780/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -24.982177734375, q_loss : 0.057643286883831024
18781/20000, episode_reward : 12, episode_length : 3, CTR : 1.0, a_loss : -29.664941787719727, q_loss : 0.044396206736564636
18782/20000, episode_reward : 9, episode_length : 2, CTR : 1.0, a_loss : -25.572887420654297, q_loss : 0.03768821060657501
18783/20000, episode_reward : 9, episode_length : 2, CTR : 1.0, a_loss : -28.59501838684082, q_loss : 0.06040079891681671
18784/20000, episode_reward : 14, episode_length : 5, CTR : 0.8, a_loss : -26.730079650878906, q_loss : 0.05609394609928131
18785/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -23.32324981689453, q_loss : 0.049405526369810104
18786/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -26.704261779785156, q_loss : 0.05883046239614487
18787/20000, episode_reward : 75, episode_length : 16, CTR : 1.0, a_loss : -28.169849395751953, q_loss : 0.07265405356884003
18788/20000, episode_reward : 46, episode_length : 10, CTR : 1.0, a_loss : -21.994667053222656, q_loss : 0.06282998621463776
18789/20000, episode_reward : 44, episode_length : 9, CTR : 0.8888888888888888, a_loss : -25.873123168945312, q_loss : 0.04997243732213974
18790/20000, episode_reward : 56, episode_length : 9, CTR : 0.8888888888888888, a_loss : -26.256784439086914, q_loss : 0.03789689764380455
18791/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -27.823177337646484, q_loss : 0.0514940582215786
18792/20000, episode_reward : 26, episode_length : 8, CTR : 0.75, a_loss : -27.197769165039062, q_loss : 0.029907144606113434
18793/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -27.372827529907227, q_loss : 0.04842095077037811
18794/20000, episode_reward : 350, episode_length : 77, CTR : 0.8701298701298701, a_loss : -25.326128005981445, q_loss : 0.053122520446777344
18795/20000, episode_reward : 32, episode_length : 4, CTR : 1.0, a_loss : -26.747678756713867, q_loss : 0.05830535292625427
18796/20000, episode_reward : 44, episode_length : 19, CTR : 0.47368421052631576, a_loss : -21.05262565612793, q_loss : 0.04178069531917572
18797/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -24.378639221191406, q_loss : 0.04532403498888016
18798/20000, episode_reward : 30, episode_length : 3, CTR : 1.0, a_loss : -27.73965072631836, q_loss : 0.061077624559402466
18799/20000, episode_reward : 16, episode_length : 2, CTR : 1.0, a_loss : -26.63080406188965, q_loss : 0.058726511895656586
18800/20000, episode_reward : 56, episode_length : 7, CTR : 1.0, a_loss : -28.940719604492188, q_loss : 0.04740290343761444
18801/20000, episode_reward : 2, episode_length : 14, CTR : 0.07142857142857142, a_loss : -27.43646240234375, q_loss : 0.08360728621482849
18802/20000, episode_reward : 75, episode_length : 17, CTR : 1.0, a_loss : -33.019649505615234, q_loss : 0.047322988510131836
18803/20000, episode_reward : 22, episode_length : 14, CTR : 0.7857142857142857, a_loss : -29.007171630859375, q_loss : 0.055414214730262756
18804/20000, episode_reward : 28, episode_length : 14, CTR : 0.42857142857142855, a_loss : -29.326505661010742, q_loss : 0.05659731477499008
18805/20000, episode_reward : 103, episode_length : 31, CTR : 0.6451612903225806, a_loss : -26.93411636352539, q_loss : 0.04312805086374283
18806/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -29.75200653076172, q_loss : 0.05390201508998871
18807/20000, episode_reward : 21, episode_length : 4, CTR : 0.75, a_loss : -21.38668441772461, q_loss : 0.030316367745399475
18808/20000, episode_reward : 4, episode_length : 2, CTR : 0.5, a_loss : -24.73418426513672, q_loss : 0.03592270612716675
18809/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -27.854066848754883, q_loss : 0.05850577354431152
18810/20000, episode_reward : 24, episode_length : 4, CTR : 0.75, a_loss : -24.573394775390625, q_loss : 0.02928934432566166
18811/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -25.222030639648438, q_loss : 0.05427471920847893
18812/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -29.066354751586914, q_loss : 0.048250287771224976
18813/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -32.49946594238281, q_loss : 0.06754894554615021
18814/20000, episode_reward : 12, episode_length : 4, CTR : 0.75, a_loss : -26.874679565429688, q_loss : 0.06151004880666733
18815/20000, episode_reward : 1, episode_length : 1, CTR : 1.0, a_loss : -26.269071578979492, q_loss : 0.0681937038898468
18816/20000, episode_reward : 72, episode_length : 9, CTR : 1.0, a_loss : -24.87403678894043, q_loss : 0.05555996298789978
18817/20000, episode_reward : 29, episode_length : 9, CTR : 0.8888888888888888, a_loss : -24.520721435546875, q_loss : 0.02599770575761795
18818/20000, episode_reward : 8, episode_length : 4, CTR : 1.0, a_loss : -26.72992706298828, q_loss : 0.05939480662345886
18819/20000, episode_reward : 40, episode_length : 5, CTR : 1.0, a_loss : -27.293298721313477, q_loss : 0.033662136644124985
18820/20000, episode_reward : 45, episode_length : 9, CTR : 1.0, a_loss : -24.04250717163086, q_loss : 0.05072805657982826
18821/20000, episode_reward : 18, episode_length : 9, CTR : 1.0, a_loss : -30.090660095214844, q_loss : 0.04503409191966057
18822/20000, episode_reward : 20, episode_length : 12, CTR : 0.8333333333333334, a_loss : -33.44729995727539, q_loss : 0.053261905908584595
18823/20000, episode_reward : 32, episode_length : 4, CTR : 1.0, a_loss : -24.736207962036133, q_loss : 0.06838203221559525
18824/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -23.47948455810547, q_loss : 0.08660201728343964
18825/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -29.8970947265625, q_loss : 0.0790853500366211
18826/20000, episode_reward : 17, episode_length : 6, CTR : 1.0, a_loss : -29.39238166809082, q_loss : 0.06777866929769516
18827/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -23.579505920410156, q_loss : 0.08312927186489105
18828/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -22.15766716003418, q_loss : 0.0826772153377533
18829/20000, episode_reward : 42, episode_length : 9, CTR : 1.0, a_loss : -28.683256149291992, q_loss : 0.0704415887594223
18830/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -30.19122886657715, q_loss : 0.07458582520484924
18831/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -28.157638549804688, q_loss : 0.11022281646728516
18832/20000, episode_reward : 45, episode_length : 8, CTR : 1.0, a_loss : -29.53502082824707, q_loss : 0.05160726606845856
18833/20000, episode_reward : 3, episode_length : 1, CTR : 1.0, a_loss : -26.55153465270996, q_loss : 0.09272453933954239
18834/20000, episode_reward : 25, episode_length : 5, CTR : 1.0, a_loss : -25.529003143310547, q_loss : 0.07450085133314133
18835/20000, episode_reward : 98, episode_length : 32, CTR : 0.84375, a_loss : -24.07320785522461, q_loss : 0.1132257729768753
18836/20000, episode_reward : 25, episode_length : 5, CTR : 1.0, a_loss : -26.583431243896484, q_loss : 0.0982302725315094
18837/20000, episode_reward : 21, episode_length : 5, CTR : 1.0, a_loss : -25.835670471191406, q_loss : 0.07139906287193298
18838/20000, episode_reward : 32, episode_length : 4, CTR : 1.0, a_loss : -26.544654846191406, q_loss : 0.11134424805641174
18839/20000, episode_reward : 15, episode_length : 6, CTR : 0.8333333333333334, a_loss : -25.87641143798828, q_loss : 0.050767283886671066
18840/20000, episode_reward : 8, episode_length : 1, CTR : 1.0, a_loss : -24.111066818237305, q_loss : 0.06048429012298584
18841/20000, episode_reward : 20, episode_length : 4, CTR : 1.0, a_loss : -31.854705810546875, q_loss : 0.13296636939048767
18842/20000, episode_reward : 9, episode_length : 2, CTR : 1.0, a_loss : -28.03955078125, q_loss : 0.09013596922159195
18843/20000, episode_reward : 9, episode_length : 3, CTR : 0.6666666666666666, a_loss : -26.581817626953125, q_loss : 0.07669496536254883
18844/20000, episode_reward : 6, episode_length : 2, CTR : 1.0, a_loss : -27.811267852783203, q_loss : 0.10575417429208755
18845/20000, episode_reward : 24, episode_length : 3, CTR : 1.0, a_loss : -23.481983184814453, q_loss : 0.06351153552532196
18846/20000, episode_reward : 96, episode_length : 14, CTR : 0.9285714285714286, a_loss : -28.01687240600586, q_loss : 0.05380571633577347
18847/20000, episode_reward : 6, episode_length : 2, CTR : 1.0, a_loss : -24.02330780029297, q_loss : 0.07056893408298492
18848/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -27.52531623840332, q_loss : 0.06919056177139282
18849/20000, episode_reward : 18, episode_length : 4, CTR : 1.0, a_loss : -28.069168090820312, q_loss : 0.09210094809532166
18850/20000, episode_reward : 19, episode_length : 4, CTR : 1.0, a_loss : -24.9545955657959, q_loss : 0.1135968565940857
18851/20000, episode_reward : 7, episode_length : 3, CTR : 0.6666666666666666, a_loss : -28.284465789794922, q_loss : 0.08626128733158112
18852/20000, episode_reward : 57, episode_length : 13, CTR : 0.9230769230769231, a_loss : -26.633045196533203, q_loss : 0.053593896329402924
18853/20000, episode_reward : 13, episode_length : 3, CTR : 0.6666666666666666, a_loss : -26.378074645996094, q_loss : 0.1081220805644989
18854/20000, episode_reward : 20, episode_length : 4, CTR : 1.0, a_loss : -25.390241622924805, q_loss : 0.06871315091848373
18855/20000, episode_reward : 64, episode_length : 15, CTR : 0.5333333333333333, a_loss : -31.496967315673828, q_loss : 0.1146979108452797
18856/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -31.01068115234375, q_loss : 0.18600580096244812
18857/20000, episode_reward : 13, episode_length : 2, CTR : 1.0, a_loss : -26.98078155517578, q_loss : 0.07781362533569336
18858/20000, episode_reward : 9, episode_length : 2, CTR : 1.0, a_loss : -23.870281219482422, q_loss : 0.1166461855173111
18859/20000, episode_reward : 9, episode_length : 3, CTR : 0.6666666666666666, a_loss : -21.549449920654297, q_loss : 0.14609551429748535
18860/20000, episode_reward : 10, episode_length : 4, CTR : 0.75, a_loss : -26.30101203918457, q_loss : 0.06657250970602036
18861/20000, episode_reward : 19, episode_length : 4, CTR : 1.0, a_loss : -25.56869888305664, q_loss : 0.10110113769769669
18862/20000, episode_reward : 20, episode_length : 7, CTR : 0.8571428571428571, a_loss : -27.613597869873047, q_loss : 0.048113226890563965
18863/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -27.62900733947754, q_loss : 0.09952360391616821
18864/20000, episode_reward : 7, episode_length : 5, CTR : 0.6, a_loss : -28.735897064208984, q_loss : 0.08978739380836487
18865/20000, episode_reward : 21, episode_length : 5, CTR : 1.0, a_loss : -24.816814422607422, q_loss : 0.07956506311893463
18866/20000, episode_reward : 0, episode_length : 4, CTR : 0.0, a_loss : -28.489288330078125, q_loss : 0.0988156646490097
18867/20000, episode_reward : 17, episode_length : 5, CTR : 0.8, a_loss : -27.790645599365234, q_loss : 0.06060069426894188
18868/20000, episode_reward : 57, episode_length : 8, CTR : 1.0, a_loss : -22.884952545166016, q_loss : 0.10668928921222687
18869/20000, episode_reward : 160, episode_length : 27, CTR : 0.9259259259259259, a_loss : -21.211423873901367, q_loss : 0.07816071808338165
18870/20000, episode_reward : 4, episode_length : 2, CTR : 1.0, a_loss : -25.40687370300293, q_loss : 0.06875446438789368
18871/20000, episode_reward : 16, episode_length : 4, CTR : 1.0, a_loss : -23.768096923828125, q_loss : 0.220009908080101
18872/20000, episode_reward : 50, episode_length : 11, CTR : 0.9090909090909091, a_loss : -24.646366119384766, q_loss : 0.07086700201034546
18873/20000, episode_reward : 28, episode_length : 6, CTR : 0.8333333333333334, a_loss : -22.733726501464844, q_loss : 0.08604999631643295
18874/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -26.64114761352539, q_loss : 0.10564935207366943
18875/20000, episode_reward : 42, episode_length : 11, CTR : 0.8181818181818182, a_loss : -25.641708374023438, q_loss : 0.11824668943881989
18876/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -23.911184310913086, q_loss : 0.10067877173423767
18877/20000, episode_reward : 0, episode_length : 5, CTR : 0.0, a_loss : -31.32577133178711, q_loss : 0.11449898779392242
18878/20000, episode_reward : 76, episode_length : 38, CTR : 0.6842105263157895, a_loss : -28.97974967956543, q_loss : 0.15351209044456482
18879/20000, episode_reward : 72, episode_length : 10, CTR : 0.9, a_loss : -27.66840362548828, q_loss : 0.07343064993619919
18880/20000, episode_reward : 24, episode_length : 21, CTR : 0.5714285714285714, a_loss : -31.775970458984375, q_loss : 0.10322511941194534
18881/20000, episode_reward : 32, episode_length : 4, CTR : 1.0, a_loss : -28.806251525878906, q_loss : 0.043861277401447296
18882/20000, episode_reward : 23, episode_length : 4, CTR : 1.0, a_loss : -25.898130416870117, q_loss : 0.08861228823661804
18883/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -26.91712188720703, q_loss : 0.07885760068893433
18884/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -30.363595962524414, q_loss : 0.07662154734134674
18885/20000, episode_reward : 17, episode_length : 4, CTR : 1.0, a_loss : -23.13460922241211, q_loss : 0.0887790247797966
18886/20000, episode_reward : 29, episode_length : 5, CTR : 1.0, a_loss : -23.452465057373047, q_loss : 0.08694729208946228
18887/20000, episode_reward : 167, episode_length : 34, CTR : 0.9411764705882353, a_loss : -25.609012603759766, q_loss : 0.11366963386535645
18888/20000, episode_reward : 7, episode_length : 2, CTR : 1.0, a_loss : -31.22504425048828, q_loss : 0.07918751239776611
18889/20000, episode_reward : 32, episode_length : 4, CTR : 1.0, a_loss : -31.358612060546875, q_loss : 0.06684473901987076
18890/20000, episode_reward : 33, episode_length : 8, CTR : 0.625, a_loss : -27.858007431030273, q_loss : 0.0676473081111908
18891/20000, episode_reward : 132, episode_length : 18, CTR : 0.9444444444444444, a_loss : -25.586627960205078, q_loss : 0.05623100697994232
18892/20000, episode_reward : 5, episode_length : 2, CTR : 0.5, a_loss : -24.372777938842773, q_loss : 0.11623536795377731
18893/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -28.531797409057617, q_loss : 0.07249672710895538
18894/20000, episode_reward : 20, episode_length : 4, CTR : 1.0, a_loss : -25.67988395690918, q_loss : 0.1047545075416565
18895/20000, episode_reward : 16, episode_length : 6, CTR : 1.0, a_loss : -24.394872665405273, q_loss : 0.06907114386558533
18896/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -34.048274993896484, q_loss : 0.10399596393108368
18897/20000, episode_reward : 27, episode_length : 10, CTR : 0.9, a_loss : -27.60076904296875, q_loss : 0.06993621587753296
18898/20000, episode_reward : 5, episode_length : 1, CTR : 1.0, a_loss : -24.746559143066406, q_loss : 0.06946595013141632
18899/20000, episode_reward : 210, episode_length : 32, CTR : 0.84375, a_loss : -25.088119506835938, q_loss : 0.07423573732376099
18900/20000, episode_reward : 24, episode_length : 4, CTR : 0.75, a_loss : -21.15080451965332, q_loss : 0.11261440068483353
18901/20000, episode_reward : 30, episode_length : 6, CTR : 1.0, a_loss : -28.933990478515625, q_loss : 0.010286486707627773
18902/20000, episode_reward : 20, episode_length : 3, CTR : 1.0, a_loss : -26.598926544189453, q_loss : 0.00795937329530716
18903/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -24.043624877929688, q_loss : 0.015802225098013878
18904/20000, episode_reward : 11, episode_length : 2, CTR : 1.0, a_loss : -27.744945526123047, q_loss : 0.009762798435986042
18905/20000, episode_reward : 8, episode_length : 2, CTR : 1.0, a_loss : -25.550899505615234, q_loss : 0.007867326028645039
18906/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -24.069072723388672, q_loss : 0.010781912133097649
18907/20000, episode_reward : 10, episode_length : 2, CTR : 1.0, a_loss : -21.90118408203125, q_loss : 0.011700215749442577
18908/20000, episode_reward : 15, episode_length : 3, CTR : 1.0, a_loss : -26.46552085876465, q_loss : 0.007990383543074131
18909/20000, episode_reward : 9, episode_length : 3, CTR : 1.0, a_loss : -27.076675415039062, q_loss : 0.014964714646339417
18910/20000, episode_reward : 36, episode_length : 4, CTR : 1.0, a_loss : -28.608808517456055, q_loss : 0.012988129630684853
