0/20000, episode_reward : 1, episode_length : 10, CTR : 0.1, a_loss : 0, q_loss : 0
191/20000, episode_reward : 18, episode_length : 19, CTR : 0.2631578947368421, a_loss : -2.089796543121338, q_loss : 0.12932361662387848
192/20000, episode_reward : 8, episode_length : 9, CTR : 0.3333333333333333, a_loss : -1.870314598083496, q_loss : 0.055136844515800476
193/20000, episode_reward : 2, episode_length : 2, CTR : 0.5, a_loss : -1.7392326593399048, q_loss : 0.08581520617008209
194/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -2.266582489013672, q_loss : 0.19056347012519836
195/20000, episode_reward : 0, episode_length : 1, CTR : 0.0, a_loss : -2.323246479034424, q_loss : 0.09660604596138
196/20000, episode_reward : 0, episode_length : 2, CTR : 0.0, a_loss : -2.3487751483917236, q_loss : 0.1245977133512497
197/20000, episode_reward : 5, episode_length : 3, CTR : 0.3333333333333333, a_loss : -2.1797258853912354, q_loss : 0.07080802321434021
198/20000, episode_reward : 5, episode_length : 2, CTR : 1.0, a_loss : -1.8020751476287842, q_loss : 0.07043231278657913
199/20000, episode_reward : 3, episode_length : 3, CTR : 0.3333333333333333, a_loss : -1.7178376913070679, q_loss : 0.11997373402118683
200/20000, episode_reward : 3, episode_length : 2, CTR : 1.0, a_loss : -2.443152666091919, q_loss : 0.07714499533176422
201/20000, episode_reward : 4, episode_length : 4, CTR : 0.5, a_loss : -2.5839319229125977, q_loss : 0.11866846680641174
202/20000, episode_reward : 65, episode_length : 55, CTR : 0.41818181818181815, a_loss : -1.788344383239746, q_loss : 0.08116039633750916
203/20000, episode_reward : 2, episode_length : 1, CTR : 1.0, a_loss : -1.7129626274108887, q_loss : 0.13885121047496796
204/20000, episode_reward : 5, episode_length : 4, CTR : 0.75, a_loss : -1.8159842491149902, q_loss : 0.0733959972858429
205/20000, episode_reward : 26, episode_length : 36, CTR : 0.3333333333333333, a_loss : -2.208806037902832, q_loss : 0.0764128714799881
206/20000, episode_reward : 22, episode_length : 19, CTR : 0.42105263157894735, a_loss : -2.184638261795044, q_loss : 0.09804318845272064
207/20000, episode_reward : 6, episode_length : 8, CTR : 0.375, a_loss : -2.015515089035034, q_loss : 0.06991036981344223
208/20000, episode_reward : 7, episode_length : 7, CTR : 0.5714285714285714, a_loss : -1.9304900169372559, q_loss : 0.08743539452552795
209/20000, episode_reward : 10, episode_length : 10, CTR : 0.6, a_loss : -2.077042818069458, q_loss : 0.10709208250045776
210/20000, episode_reward : 14, episode_length : 12, CTR : 0.4166666666666667, a_loss : -1.7709975242614746, q_loss : 0.10747654736042023
